timestamp,player,action,position
2026-05-28T13:54:09,Equipo rival,Despeje,Rival
2026-05-28T13:54:11,Equipo rival,Recuperacion,Rival
2026-05-28T13:54:15,Raphinha,Perdida,Atacante
2026-05-28T13:54:31,Pedri,Recuperacion,Mediocampista
2026-05-28T13:54:33,Equipo rival,Perdida,Rival
2026-05-28T13:54:37,Pedri,Pase,Mediocampista
2026-05-28T13:54:41,De Jong,Pase,Mediocampista
2026-05-28T13:54:46,Raphinha,Pase,Atacante
2026-05-28T13:54:50,De Jong,Pase,Mediocampista
2026-05-28T13:54:53,Pedri,Pase,Mediocampista
2026-05-28T13:55:00,De Jong,Pase,Mediocampista
2026-05-28T13:55:12,Raphinha,Pase,Atacante
2026-05-28T13:55:20,Balde,Pase,Defensa
2026-05-28T13:55:26,De Jong,Pase,Mediocampista
2026-05-28T13:55:29,Dani Olmo,Pase,Mediocampista
2026-05-28T13:55:32,I. Martinez,Pase,Defensa
2026-05-28T13:55:36,Balde,Pase,Defensa
2026-05-28T13:55:44,Ferran Torres,Pase,Atacante
2026-05-28T13:55:55,Pedri,Pase,Mediocampista
2026-05-28T13:56:03,Ferran Torres,Pase errado,Atacante
2026-05-28T13:56:05,Ferran Torres,Perdida,Atacante
2026-05-28T13:56:09,Equipo rival,Recuperacion,Rival
2026-05-28T13:56:22,Equipo rival,Pase errado,Rival
2026-05-28T13:56:42,Eric Garcia,Intercepcion,Defensa
2026-05-28T13:56:52,Equipo rival,Pase errado,Rival
2026-05-28T13:56:57,Christensen,Intercepcion,Defensa
2026-05-28T13:57:20,Equipo rival,Pase,Rival
2026-05-28T13:57:32,Equipo rival,Pase,Rival
2026-05-28T13:57:55,Equipo rival,Pase,Rival
2026-05-28T13:57:57,Equipo rival,Pase,Rival
2026-05-28T13:58:48,Raphinha,Falta cometida,Atacante
2026-05-28T13:58:50,Equipo rival,Falta recibida,Rival
